Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
New York City,Job Title,2017-06,Truck Driver,Median Base Pay,53192.0,0.023,6,2017
New York City,Job Title,2017-06,Insurance Agent,Median Base Pay,43369.0,0.022000000000000002,6,2017
New York City,Job Title,2017-06,Medical Technologist,Median Base Pay,60965.0,0.04,6,2017
New York City,Job Title,2017-06,Field Engineer,Median Base Pay,76290.0,0.009000000000000001,6,2017
New York City,Job Title,2017-06,Machine Operator,Median Base Pay,40424.0,0.01,6,2017
New York City,Job Title,2017-06,Communications Manager,Median Base Pay,81529.0,-0.008,6,2017
New York City,Job Title,2017-06,Construction Laborer,Median Base Pay,45978.0,0.025,6,2017
New York City,Job Title,2017-06,Emergency Medical Technician,Median Base Pay,38096.0,0.027999999999999997,6,2017
New York City,Job Title,2017-06,Web Designer,Median Base Pay,64059.0,0.037000000000000005,6,2017
New York City,Job Title,2017-06,Maintenance Worker,Median Base Pay,43712.0,0.049,6,2017
New York City,Job Title,2017-06,Barista,Median Base Pay,27228.0,0.078,6,2017
New York City,Job Title,2017-06,Bartender,Median Base Pay,35629.0,0.013000000000000001,6,2017
New York City,Job Title,2017-06,Civil Engineer,Median Base Pay,77096.0,0.032,6,2017
New York City,Job Title,2017-06,Claims Adjuster,Median Base Pay,57591.0,0.067,6,2017
New York City,Job Title,2017-06,Certified Nursing Assistant,Median Base Pay,35629.0,0.039,6,2017
New York City,Job Title,2017-06,Customer Service Representative,Median Base Pay,41761.0,0.027999999999999997,6,2017
New York City,Job Title,2017-06,Delivery Driver,Median Base Pay,40551.0,0.044000000000000004,6,2017
New York City,Job Title,2017-06,Financial Advisor,Median Base Pay,57884.0,-0.012,6,2017
New York City,Job Title,2017-06,Licensed Practical Nurse,Median Base Pay,52410.0,0.022000000000000002,6,2017
New York City,Job Title,2017-06,Loan Officer,Median Base Pay,47673.0,-0.052000000000000005,6,2017
New York City,Job Title,2017-06,Maintenance Technician,Median Base Pay,47291.0,0.008,6,2017
New York City,Job Title,2017-06,Material Handler,Median Base Pay,38033.0,-0.002,6,2017
New York City,Job Title,2017-06,Network Engineer,Median Base Pay,80668.0,-0.021,6,2017
New York City,Job Title,2017-06,Office Manager,Median Base Pay,56349.0,-0.005,6,2017
New York City,Job Title,2017-06,Pharmacist,Median Base Pay,121035.0,-0.015,6,2017
New York City,Job Title,2017-06,Process Engineer,Median Base Pay,82543.0,0.025,6,2017
New York City,Job Title,2017-06,Program Manager,Median Base Pay,90914.0,0.016,6,2017
New York City,Job Title,2017-06,Research Assistant,Median Base Pay,36790.0,0.032,6,2017
New York City,Job Title,2017-06,Restaurant Manager,Median Base Pay,60534.0,0.026000000000000002,6,2017
New York City,Job Title,2017-06,Security Officer,Median Base Pay,39001.0,0.037000000000000005,6,2017
New York City,Job Title,2017-06,Server,Median Base Pay,36485.0,0.037000000000000005,6,2017
New York City,Job Title,2017-06,Solutions Architect,Median Base Pay,117394.0,-0.003,6,2017
New York City,Job Title,2017-06,Systems Engineer,Median Base Pay,86970.0,0.034,6,2017
New York City,Job Title,2017-06,Technical Support,Median Base Pay,56094.0,0.005,6,2017
New York City,Job Title,2017-06,UX Designer,Median Base Pay,96305.0,0.040999999999999995,6,2017
Los Angeles,Job Title,2017-06,Software Engineer,Median Base Pay,98541.0,0.023,6,2017
Los Angeles,Job Title,2017-06,Programmer Analyst,Median Base Pay,78226.0,0.021,6,2017
Los Angeles,Job Title,2017-06,Consultant,Median Base Pay,88155.0,0.001,6,2017
Los Angeles,Job Title,2017-06,Project Manager,Median Base Pay,83449.0,-0.001,6,2017
Los Angeles,Job Title,2017-06,Store Manager,Median Base Pay,60554.0,0.023,6,2017
Los Angeles,Job Title,2017-06,Business Analyst,Median Base Pay,73926.0,0.018000000000000002,6,2017
Los Angeles,Job Title,2017-06,Cashier,Median Base Pay,30205.0,0.035,6,2017
Los Angeles,Job Title,2017-06,Financial Analyst,Median Base Pay,70005.0,0.006999999999999999,6,2017
Los Angeles,Job Title,2017-06,Administrative Assistant,Median Base Pay,46767.0,0.013999999999999999,6,2017
Los Angeles,Job Title,2017-06,Accountant,Median Base Pay,60496.0,0.009000000000000001,6,2017
Los Angeles,Job Title,2017-06,Sales Representative,Median Base Pay,54361.0,0.022000000000000002,6,2017
Los Angeles,Job Title,2017-06,Professor,Median Base Pay,109241.0,0.006999999999999999,6,2017
Los Angeles,Job Title,2017-06,Registered Nurse,Median Base Pay,88394.0,0.032,6,2017
Los Angeles,Job Title,2017-06,Marketing Manager,Median Base Pay,82410.0,0.006999999999999999,6,2017
Los Angeles,Job Title,2017-06,Operations Manager,Median Base Pay,75282.0,0.015,6,2017
Los Angeles,Job Title,2017-06,Product Manager,Median Base Pay,103160.0,0.013999999999999999,6,2017
Los Angeles,Job Title,2017-06,Sales Manager,Median Base Pay,73876.0,0.001,6,2017
Los Angeles,Job Title,2017-06,Teacher,Median Base Pay,59768.0,0.016,6,2017
Los Angeles,Job Title,2017-06,Bank Teller,Median Base Pay,31045.0,0.057,6,2017
Los Angeles,Job Title,2017-06,Customer Service Manager,Median Base Pay,62538.0,0.059000000000000004,6,2017
Los Angeles,Job Title,2017-06,Physical Therapist,Median Base Pay,90442.0,-0.023,6,2017
Los Angeles,Job Title,2017-06,Mechanical Engineer,Median Base Pay,80062.0,0.0,6,2017
Los Angeles,Job Title,2017-06,Recruiter,Median Base Pay,60543.0,0.078,6,2017
Los Angeles,Job Title,2017-06,Design Engineer,Median Base Pay,82857.0,-0.043,6,2017
